s01a_03,s01a_02,area,depto,s01a_07_1,s01a_09,yhogpc,niv_ed,s06a_06,s06a_07,s06a_12,Real_No_Asiste,Pred_Logistica,Prob_Logistica,Pred_RandomForest,Prob_RandomForest
11.0,2.0,1.0,7.0,6.0,2.0,828.1170043945312,1.0,5.0,2.0,1.0,0,0,0.15156423209359035,0,0.0
18.0,2.0,1.0,3.0,6.0,2.0,1204.9000244140625,3.0,5.0,1.0,1.0,0,0,0.4089823331515831,0,0.006666666666666667
16.0,2.0,1.0,7.0,6.0,2.0,4000.0,3.0,5.0,1.0,1.0,0,0,0.24834595441851107,0,0.08333333333333333
12.0,2.0,1.0,1.0,6.0,2.0,611.0,2.0,5.0,1.0,1.0,0,0,0.0779773294907193,0,0.0033333333333333335
8.0,1.0,2.0,9.0,6.0,2.0,3064.466552734375,1.0,1.0,8.0,2.0,0,0,0.06779967572079984,0,0.0033333333333333335
17.0,2.0,1.0,7.0,6.0,2.0,4433.91650390625,3.0,5.0,1.0,1.0,0,0,0.4025299387185866,0,0.18333333333333332
18.0,1.0,1.0,2.0,6.0,2.0,1672.916748046875,3.0,4.0,1.0,1.0,0,1,0.5240159573673663,0,0.01
15.0,2.0,1.0,7.0,6.0,2.0,1114.4932861328125,3.0,8.0,2.0,1.0,0,0,0.27377099013771167,0,0.10333333333333333
6.0,2.0,2.0,3.0,6.0,2.0,1921.1524658203125,0.0,5.0,7.0,1.0,0,0,0.20222893244148485,0,0.023333333333333334
14.0,1.0,2.0,9.0,6.0,2.0,900.0,2.0,2.0,1.0,1.0,0,0,0.4984895705606223,0,0.02
10.0,1.0,1.0,3.0,6.0,2.0,1664.8079833984375,1.0,5.0,5.0,1.0,0,0,0.025778808476198185,0,0.0
13.0,1.0,1.0,9.0,6.0,2.0,1882.1875,3.0,8.0,1.0,1.0,0,0,0.03450362340843091,0,0.0
16.0,2.0,2.0,9.0,6.0,2.0,1171.449951171875,3.0,8.0,5.0,1.0,0,0,0.35286665123530914,0,0.02666666666666667
11.0,1.0,2.0,5.0,27.0,1.0,586.6666870117188,1.0,8.0,1.0,1.0,0,0,0.08366965608868378,0,0.006666666666666667
10.0,1.0,1.0,6.0,6.0,1.0,708.7579956054688,1.0,5.0,2.0,1.0,0,0,0.08109845517587239,0,0.0033333333333333335
17.0,2.0,2.0,1.0,6.0,1.0,860.0,3.0,5.0,7.0,1.0,0,1,0.6687763082795278,0,0.14666666666666667
11.0,1.0,1.0,2.0,6.0,1.0,2588.333251953125,1.0,3.0,1.0,1.0,0,0,0.02885885052077419,0,0.0
9.0,1.0,1.0,8.0,6.0,2.0,2690.0,1.0,6.0,5.0,1.0,0,0,0.016973817997094486,0,0.013333333333333334
10.0,1.0,1.0,7.0,6.0,2.0,235.7142791748047,1.0,8.0,1.0,1.0,0,0,0.03858407670130706,0,0.006666666666666667
6.0,2.0,1.0,5.0,6.0,2.0,2082.833251953125,0.0,3.0,1.0,1.0,0,0,0.03655869895189399,0,0.0
11.0,2.0,1.0,1.0,6.0,2.0,1564.9466552734375,1.0,8.0,1.0,1.0,0,0,0.0339915681734367,0,0.0
11.0,2.0,1.0,1.0,6.0,2.0,750.6777954101562,1.0,6.0,1.0,1.0,0,0,0.04992502819594811,0,0.01
15.0,2.0,1.0,7.0,27.0,1.0,886.0,3.0,6.0,1.0,1.0,0,0,0.30510613849384477,0,0.09666666666666666
17.0,2.0,1.0,2.0,6.0,2.0,994.25,3.0,5.0,8.0,1.0,0,0,0.4409780906510485,0,0.02
9.0,1.0,1.0,9.0,6.0,2.0,407.0833435058594,1.0,5.0,1.0,1.0,0,0,0.01780278860318418,0,0.02666666666666667
11.0,1.0,1.0,3.0,6.0,2.0,4403.72216796875,1.0,8.0,1.0,1.0,0,0,0.026297035907225676,0,0.0
8.0,2.0,1.0,2.0,6.0,2.0,1540.5,1.0,5.0,1.0,1.0,0,0,0.003817997755465039,0,0.0
16.0,2.0,1.0,1.0,6.0,2.0,4554.16650390625,3.0,8.0,1.0,1.0,0,0,0.13926022189090853,0,0.0
17.0,2.0,1.0,2.0,6.0,2.0,1423.4749755859375,3.0,3.0,1.0,1.0,0,0,0.21423919273350786,0,0.0
15.0,1.0,1.0,7.0,6.0,2.0,2977.0,3.0,8.0,1.0,1.0,0,0,0.1576547533207068,0,0.0
19.0,2.0,1.0,1.0,6.0,2.0,1166.6666259765625,5.0,6.0,1.0,1.0,0,0,0.3946540458414215,0,0.02
18.0,2.0,1.0,7.0,6.0,2.0,1476.3665771484375,4.0,8.0,1.0,1.0,1,1,0.8828180529031694,0,0.20333333333333334
15.0,2.0,2.0,9.0,6.0,2.0,2263.93994140625,3.0,8.0,2.0,1.0,0,0,0.29518462416905444,0,0.006666666666666667
8.0,2.0,1.0,2.0,6.0,2.0,2850.6943359375,1.0,3.0,1.0,1.0,0,0,0.0024070938160678807,0,0.0
16.0,2.0,1.0,7.0,6.0,2.0,1339.47998046875,3.0,8.0,1.0,1.0,0,0,0.2402425158174301,0,0.0033333333333333335
6.0,2.0,2.0,2.0,6.0,2.0,516.1904907226562,0.0,5.0,1.0,1.0,0,0,0.11171009113030848,0,0.023333333333333334
8.0,2.0,2.0,4.0,2.0,2.0,766.09521484375,1.0,5.0,8.0,1.0,0,0,0.013773147986649538,0,0.013333333333333334
12.0,2.0,1.0,8.0,6.0,2.0,505.1666564941406,1.0,5.0,2.0,1.0,0,0,0.16094558245687127,0,0.0
14.0,2.0,1.0,7.0,6.0,2.0,2279.916748046875,3.0,5.0,1.0,1.0,0,0,0.07700362238918544,0,0.0
11.0,1.0,2.0,9.0,6.0,2.0,1175.166748046875,1.0,5.0,6.0,2.0,0,0,0.3615085618532672,0,0.09666666666666666
17.0,2.0,1.0,5.0,27.0,1.0,4414.45458984375,3.0,5.0,2.0,1.0,0,1,0.5489783458514098,0,0.29
12.0,1.0,1.0,2.0,6.0,2.0,817.5,2.0,5.0,1.0,1.0,0,0,0.08486478756532562,0,0.0
9.0,1.0,2.0,9.0,6.0,1.0,792.75,1.0,1.0,6.0,1.0,0,0,0.18719892346927858,0,0.0033333333333333335
6.0,2.0,1.0,7.0,6.0,2.0,1139.14990234375,0.0,1.0,1.0,1.0,0,0,0.2809303501853194,0,0.016666666666666666
17.0,1.0,2.0,6.0,6.0,2.0,1258.074951171875,3.0,6.0,7.0,1.0,0,1,0.8014378781144396,0,0.23666666666666666
9.0,2.0,1.0,9.0,6.0,2.0,808.0,1.0,5.0,2.0,1.0,0,0,0.03108009635000725,0,0.0033333333333333335
13.0,1.0,1.0,2.0,6.0,2.0,1353.333251953125,3.0,3.0,2.0,1.0,0,0,0.04573379984757555,0,0.006666666666666667
18.0,1.0,1.0,7.0,6.0,2.0,3288.33349609375,3.0,8.0,1.0,1.0,0,1,0.6267711847508789,0,0.0033333333333333335
7.0,2.0,1.0,7.0,6.0,2.0,945.2799682617188,1.0,5.0,1.0,1.0,0,0,0.0037635808012760367,0,0.0
18.0,1.0,1.0,7.0,6.0,2.0,1544.760009765625,3.0,8.0,1.0,1.0,0,1,0.6497770751402949,0,0.08333333333333333
15.0,1.0,1.0,4.0,6.0,2.0,2681.64794921875,3.0,3.0,2.0,1.0,0,0,0.15001869644705712,0,0.016666666666666666
12.0,1.0,2.0,2.0,6.0,2.0,1299.0,1.0,1.0,7.0,1.0,0,1,0.5006381592078097,0,0.0031598468533141897
8.0,1.0,1.0,7.0,6.0,2.0,500.0,1.0,8.0,1.0,1.0,0,0,0.00896589242850586,0,0.0
12.0,1.0,1.0,3.0,6.0,2.0,289.0416564941406,1.0,8.0,9.0,1.0,0,0,0.07206265766612904,0,0.0
15.0,1.0,1.0,3.0,6.0,2.0,626.2000122070312,3.0,5.0,9.0,1.0,0,0,0.10369033434162112,0,0.0
9.0,2.0,1.0,2.0,6.0,2.0,1695.38232421875,1.0,5.0,1.0,1.0,0,0,0.007878293946809667,0,0.0
11.0,1.0,1.0,7.0,6.0,2.0,2675.0,1.0,8.0,1.0,1.0,0,0,0.06800896787616127,0,0.0
12.0,2.0,1.0,6.0,6.0,2.0,789.5,1.0,5.0,1.0,1.0,0,0,0.10511630205087484,0,0.0
15.0,2.0,1.0,3.0,6.0,2.0,1506.2666015625,3.0,8.0,1.0,1.0,0,0,0.0576843990431211,0,0.0
12.0,2.0,1.0,3.0,6.0,2.0,2357.10009765625,2.0,5.0,10.0,1.0,0,0,0.18436349486816692,0,0.016666666666666666
13.0,1.0,1.0,8.0,6.0,2.0,1133.5428466796875,3.0,5.0,2.0,1.0,0,0,0.0670172832069733,0,0.0
9.0,1.0,1.0,7.0,6.0,2.0,719.7916870117188,1.0,5.0,1.0,1.0,0,0,0.02221375325217226,0,0.0
11.0,1.0,1.0,7.0,6.0,2.0,837.5,1.0,6.0,1.0,1.0,0,0,0.10357208484180898,0,0.01
8.0,2.0,1.0,3.0,6.0,2.0,1308.818359375,1.0,8.0,1.0,1.0,0,0,0.0025907839301724145,0,0.0
9.0,1.0,1.0,5.0,6.0,2.0,1022.6666870117188,1.0,2.0,1.0,1.0,0,0,0.008537476692575641,0,0.0
18.0,2.0,1.0,8.0,6.0,2.0,4319.05029296875,3.0,7.0,5.0,1.0,0,0,0.42615023523372564,0,0.03333333333333333
6.0,2.0,1.0,4.0,6.0,2.0,992.5,0.0,8.0,2.0,1.0,0,0,0.1294190232341739,0,0.0033333333333333335
14.0,1.0,1.0,2.0,6.0,2.0,1780.0,3.0,5.0,1.0,1.0,0,0,0.05532660155132305,0,0.0
12.0,2.0,1.0,8.0,6.0,2.0,1879.0667724609375,1.0,5.0,1.0,1.0,0,0,0.06723334292856341,0,0.0033333333333333335
12.0,1.0,1.0,5.0,6.0,1.0,1233.0833740234375,2.0,5.0,1.0,1.0,0,0,0.061197098709812964,0,0.0
9.0,1.0,2.0,5.0,27.0,1.0,463.0833435058594,1.0,1.0,8.0,1.0,0,0,0.10715333797827103,0,0.006666666666666667
11.0,2.0,1.0,7.0,6.0,2.0,422.02996826171875,1.0,5.0,1.0,1.0,0,0,0.06917638618406505,0,0.0
12.0,2.0,1.0,2.0,6.0,1.0,675.6077270507812,3.0,5.0,2.0,1.0,0,0,0.024651558342305695,0,0.0
8.0,1.0,2.0,8.0,6.0,2.0,866.0,1.0,1.0,5.0,2.0,0,0,0.03835134936241629,0,0.03666666666666667
12.0,1.0,1.0,2.0,6.0,2.0,329.0799865722656,1.0,3.0,1.0,1.0,0,0,0.06742152795616592,0,0.0
13.0,1.0,2.0,4.0,6.0,2.0,90.27777862548828,2.0,5.0,7.0,1.0,0,0,0.427523387143985,0,0.07666666666666666
18.0,1.0,1.0,9.0,6.0,2.0,2727.89990234375,4.0,8.0,1.0,1.0,0,1,0.8819069541715018,0,0.30666666666666664
10.0,2.0,2.0,9.0,6.0,2.0,1175.166748046875,1.0,5.0,6.0,2.0,0,0,0.16622186659455512,0,0.2
8.0,1.0,1.0,2.0,6.0,2.0,1000.0,1.0,4.0,1.0,1.0,0,0,0.005227925990554776,0,0.0
14.0,1.0,2.0,5.0,27.0,1.0,562.7380981445312,3.0,8.0,7.0,1.0,0,0,0.2345580448658693,0,0.01
12.0,2.0,1.0,9.0,6.0,2.0,1195.0277099609375,3.0,1.0,1.0,1.0,0,0,0.037499949689105305,0,0.0
14.0,1.0,1.0,7.0,6.0,2.0,1306.8499755859375,3.0,5.0,2.0,1.0,0,0,0.22768818054555473,0,0.006666666666666667
13.0,1.0,1.0,7.0,6.0,2.0,837.875,2.0,8.0,1.0,1.0,0,0,0.24068110421996378,0,0.0033333333333333335
16.0,2.0,1.0,2.0,6.0,2.0,208.3333282470703,3.0,8.0,1.0,1.0,0,0,0.14485007122293916,0,0.02666666666666667
6.0,1.0,2.0,7.0,6.0,2.0,2710.83349609375,0.0,5.0,1.0,1.0,0,0,0.23086038760994632,0,0.0033333333333333335
19.0,2.0,1.0,1.0,6.0,2.0,2007.0833740234375,3.0,6.0,1.0,1.0,0,1,0.7090176020654064,0,0.08
6.0,1.0,2.0,1.0,6.0,2.0,248.26390075683594,0.0,5.0,7.0,1.0,0,0,0.36320472772854784,0,0.0033333333333333335
18.0,2.0,1.0,5.0,6.0,2.0,1729.642822265625,3.0,6.0,2.0,1.0,0,1,0.6366136931495483,0,0.02666666666666667
9.0,2.0,1.0,3.0,6.0,2.0,2108.967529296875,1.0,5.0,9.0,1.0,0,0,0.006813942462077874,0,0.0
7.0,1.0,2.0,3.0,6.0,2.0,338.63336181640625,1.0,5.0,7.0,1.0,0,0,0.008746094333626787,0,0.0
12.0,2.0,2.0,9.0,6.0,2.0,1080.344970703125,2.0,8.0,6.0,1.0,0,0,0.31896301562801793,0,0.0
15.0,1.0,1.0,7.0,6.0,1.0,1281.63330078125,3.0,5.0,1.0,1.0,0,0,0.1969478354123962,0,0.0
13.0,1.0,2.0,1.0,27.0,2.0,197.59524536132812,2.0,1.0,7.0,1.0,0,1,0.8323275911647114,0,0.22666666666666666
14.0,1.0,1.0,6.0,6.0,2.0,2563.199951171875,3.0,5.0,7.0,1.0,0,0,0.18778603407886132,0,0.06333333333333334
10.0,2.0,1.0,6.0,6.0,2.0,3513.333251953125,1.0,8.0,1.0,1.0,0,0,0.01856093806272478,0,0.0
19.0,2.0,1.0,6.0,6.0,2.0,1416.5,5.0,5.0,1.0,1.0,0,0,0.407868514779146,0,0.07333333333333333
13.0,2.0,1.0,7.0,6.0,1.0,1984.31103515625,2.0,1.0,1.0,1.0,0,0,0.3887301311854676,0,0.006666666666666667
16.0,1.0,2.0,9.0,6.0,2.0,255.4166717529297,3.0,8.0,6.0,1.0,0,1,0.6604290260830992,0,0.05
6.0,1.0,2.0,9.0,6.0,1.0,1675.833251953125,0.0,2.0,6.0,1.0,0,0,0.4771978400315394,0,0.01
10.0,1.0,1.0,7.0,6.0,2.0,1541.63330078125,1.0,5.0,1.0,1.0,0,0,0.04334563750384919,0,0.0
14.0,1.0,1.0,2.0,6.0,2.0,4800.0,3.0,8.0,1.0,1.0,0,0,0.03893293913990879,0,0.0
13.0,1.0,1.0,3.0,6.0,2.0,2907.466796875,3.0,5.0,7.0,1.0,0,0,0.05426535779226516,0,0.006666666666666667
11.0,1.0,1.0,3.0,6.0,2.0,846.6666870117188,1.0,8.0,1.0,1.0,0,0,0.032036620746905733,0,0.0
8.0,1.0,1.0,7.0,6.0,2.0,433.0,1.0,8.0,2.0,1.0,0,0,0.021854482512964356,0,0.0
14.0,1.0,1.0,3.0,6.0,2.0,2230.0,3.0,5.0,1.0,1.0,0,0,0.04438018910256989,0,0.0
17.0,1.0,1.0,6.0,6.0,2.0,1367.973388671875,3.0,5.0,2.0,1.0,0,1,0.6744827745110934,0,0.013333333333333334
17.0,2.0,1.0,7.0,6.0,2.0,3060.694580078125,3.0,8.0,1.0,1.0,0,0,0.37462668529814996,0,0.0033333333333333335
17.0,1.0,1.0,3.0,6.0,2.0,1991.3333740234375,3.0,5.0,6.0,1.0,0,1,0.6066350229996632,0,0.16
9.0,2.0,1.0,7.0,6.0,2.0,2756.637451171875,1.0,5.0,2.0,1.0,0,0,0.0353225232765381,0,0.0033333333333333335
14.0,1.0,1.0,7.0,6.0,2.0,3266.666748046875,3.0,6.0,1.0,1.0,0,0,0.11153376373667018,0,0.0
11.0,1.0,1.0,8.0,6.0,2.0,440.8999938964844,1.0,5.0,1.0,1.0,0,0,0.04840210297531068,0,0.0033333333333333335
10.0,2.0,1.0,3.0,6.0,2.0,2427.800048828125,1.0,8.0,9.0,1.0,0,0,0.011443401248904115,0,0.0
15.0,1.0,1.0,3.0,6.0,2.0,576.6666870117188,1.0,8.0,1.0,1.0,0,0,0.3908863845475664,0,0.08666666666666667
6.0,1.0,1.0,7.0,6.0,2.0,2347.22216796875,0.0,8.0,1.0,1.0,0,0,0.14266427140038432,0,0.0
10.0,1.0,2.0,9.0,6.0,2.0,776.0999755859375,1.0,2.0,1.0,1.0,0,0,0.0553403407738442,0,0.0
11.0,1.0,1.0,2.0,6.0,2.0,866.0,1.0,5.0,1.0,1.0,0,0,0.04710259528709855,0,0.0
10.0,1.0,1.0,3.0,6.0,2.0,1221.429931640625,1.0,6.0,1.0,1.0,0,0,0.02161393861941565,0,0.0
18.0,2.0,1.0,3.0,6.0,2.0,836.0333251953125,4.0,5.0,9.0,1.0,0,1,0.8085350970096195,0,0.25666666666666665
6.0,2.0,1.0,4.0,6.0,2.0,716.5,0.0,6.0,1.0,1.0,0,0,0.08046303968914077,0,0.013333333333333334
8.0,1.0,2.0,2.0,6.0,2.0,858.6666870117188,1.0,5.0,1.0,1.0,0,0,0.00812984308696055,0,0.0
11.0,1.0,1.0,8.0,6.0,2.0,1254.166748046875,1.0,7.0,1.0,1.0,0,0,0.033851049582683576,0,0.013333333333333334
17.0,1.0,2.0,4.0,2.0,1.0,88.19445037841797,3.0,5.0,6.0,1.0,0,1,0.7899143285077179,0,0.07666666666666666
15.0,2.0,1.0,7.0,6.0,2.0,3283.33349609375,3.0,8.0,2.0,1.0,0,0,0.24982365941773838,0,0.0
12.0,2.0,1.0,6.0,6.0,2.0,896.0,1.0,6.0,1.0,1.0,0,0,0.12034126212453589,0,0.0
17.0,2.0,2.0,1.0,6.0,2.0,1079.4610595703125,3.0,7.0,1.0,1.0,0,0,0.35409335637775013,0,0.006666666666666667
17.0,1.0,2.0,5.0,6.0,2.0,1255.0,3.0,5.0,1.0,1.0,0,0,0.38058452894731515,0,0.02666666666666667
9.0,2.0,1.0,9.0,6.0,2.0,390.1785583496094,1.0,5.0,1.0,1.0,0,0,0.013177635921472558,0,0.0033333333333333335
15.0,2.0,1.0,3.0,6.0,2.0,1560.8499755859375,3.0,8.0,5.0,1.0,0,0,0.08075474476468415,0,0.0
18.0,2.0,1.0,7.0,6.0,2.0,1916.3333740234375,4.0,5.0,1.0,1.0,1,1,0.8993681744302026,0,0.13
13.0,2.0,1.0,2.0,6.0,1.0,3215.8056640625,2.0,5.0,1.0,1.0,0,0,0.10842996200630264,0,0.016666666666666666
17.0,2.0,1.0,7.0,6.0,2.0,1256.0,3.0,8.0,1.0,1.0,0,0,0.3990907181603579,0,0.0033333333333333335
11.0,1.0,1.0,2.0,6.0,2.0,1059.583251953125,1.0,2.0,1.0,1.0,0,0,0.048520208602123596,0,0.0033333333333333335
11.0,2.0,2.0,7.0,6.0,2.0,731.1714477539062,1.0,1.0,1.0,1.0,0,0,0.21291183144127834,0,0.01
10.0,2.0,2.0,4.0,2.0,2.0,766.09521484375,1.0,5.0,8.0,1.0,0,0,0.05751255801616031,0,0.01
7.0,1.0,1.0,3.0,6.0,2.0,1931.666748046875,0.0,8.0,5.0,1.0,0,0,0.17320715024816774,0,0.0033333333333333335
